frag,long,lat
1104,-59.87598,-2.406294
1202,-59.8714,-2.404555
1301,-59.8503,-2.388716
2108,-60.10871,-2.337456
2206,-60.11326,-2.336342
2303,-60.09489,-2.342434
3114,-59.97007,-2.37307
3209,-59.9579,-2.355269
3304,-59.97298,-2.364639
